Date,Open,High,Low,Close,Adj Close,Volume
2012-08-31,339.790009,342.065186,337.822784,340.331482,340.331482,4281700
2012-09-04,340.063202,340.286774,334.573914,338.31955,338.31955,3803600
2012-09-05,337.802917,341.031921,337.375702,338.160583,338.160583,3438500
2012-09-06,340.763672,347.683655,340.152649,347.440247,347.440247,6126500
2012-09-07,347.738312,353.82373,346.580811,350.793427,350.793427,6507900
2012-09-10,352.586761,354.101898,346.938507,348.120819,348.120819,5153200
2012-09-11,346.724884,348.061188,343.267365,343.858521,343.858521,3771800
2012-09-12,342.477509,345.209747,338.240082,343.207764,343.207764,5318900
2012-09-13,344.305634,352.209229,343.038849,350.73877,350.73877,5352600
2012-09-14,352.507294,354.196289,351.220642,352.547028,352.547028,5270900
2012-09-17,351.76709,354.136688,350.222137,352.696045,352.696045,3036100
2012-09-18,351.603149,357.007996,351.106384,356.819244,356.819244,4160400
2012-09-19,356.431763,361.926025,355.890289,361.399445,361.399445,6236800
2012-09-20,359.894226,363.326904,358.279724,361.707428,361.707428,5852500
2012-09-21,363.739227,365.08548,362.700989,364.623474,364.623474,12800800
2012-09-24,363.138123,372.596619,362.765564,372.268738,372.268738,7173800
2012-09-25,374.091888,379.973633,371.414307,372.159454,372.159454,12195800
2012-09-26,372.502228,378.160431,368.105835,374.295563,374.295563,11419500
2012-09-27,377.519592,378.955261,373.396423,375.805756,375.805756,7913300
2012-09-28,374.638336,377.196686,373.148041,374.812195,374.812195,5603000
2012-10-01,377.07251,380.02829,375.661682,378.42868,378.42868,6377200
2012-10-02,380.127625,380.520081,372.710876,376.049164,376.049164,5616600
2012-10-03,375.418274,379.49176,373.669647,378.786346,378.786346,4445300
2012-10-04,378.910553,382.457489,377.246368,381.543427,381.543427,4940200
2012-10-05,382.864838,384.687988,380.033264,381.344727,381.344727,5507300
2012-10-08,378.041199,379.322876,374.638336,376.471405,376.471405,3942600
2012-10-09,377.380493,378.200165,368.865875,369.640839,369.640839,6045500
2012-10-10,368.533051,371.349731,366.759583,369.874329,369.874329,4106200
2012-10-11,374.017365,376.799286,372.720825,373.311951,373.311951,4798700
2012-10-12,373.495758,374.996002,369.645813,369.968719,369.968719,4839700
2012-10-15,368.572784,369.511688,362.989105,368.095886,368.095886,6077300
